,nr,file,pid,mom,eta_bin,eta,phi,aero_thetac_hist_entries,aero_thetac_fit_mean,aero_thetac_fit_sigma,aero_thetac_res_hist_entries,aero_thetac_res_fit_mean,aero_thetac_res_fit_sigma,gas_thetac_hist_entries,gas_thetac_fit_mean,gas_thetac_fit_sigma,gas_thetac_res_hist_entries,gas_thetac_res_fit_mean,gas_thetac_res_fit_sigma,SPEaero_thetac_hist_entries,SPEaero_thetac_hist_mean,SPEaero_thetac_fit_mean,SPEaero_thetac_fit_sigma,SPEaero_thetac_res_hist_entries,SPEaero_thetac_res_hist_mean,SPEaero_thetac_res_fit_mean,SPEaero_thetac_res_fit_sigma,SPEgas_thetac_hist_entries,SPEgas_thetac_hist_mean,SPEgas_thetac_fit_mean,SPEgas_thetac_fit_sigma,SPEgas_thetac_res_hist_entries,SPEgas_thetac_res_hist_mean,SPEgas_thetac_res_fit_mean,SPEgas_thetac_res_fit_sigma
247,247,ana_211_5_5_0.root,211,5,5,2,0,184,222.5513244,0.8220483148538178,184,-1.366365309,0.807741254,176,27.33194173759697,1.0649509926074612,183,-1.366359692,0.8077487062638985,2175,222.84970114942527,222.3925215858785,2.5758364555850415,2175,-1.055295019,-1.484456743,2.7394018501584405,1305,27.342298850574718,27.341455540240908,2.9197498578826075,2161,-1.102730217,-1.510001074,2.7389496313948305
241,241,ana_211_5_5_1.root,211,5,5,2,1,181,222.56328679004434,0.8266754888715176,181,-1.347619009,0.8227045917285614,164,27.42956194144855,1.0327060093265712,179,-1.34761963,0.822708332,2027,222.72683769116924,222.39503710925095,2.7199668459600845,2027,-1.180299293,-1.504816761,2.768540026336049,1270,27.43763779527559,27.375600188925844,3.166501586889677,2012,-1.205500331,-1.536908811,2.6858053697449003
245,245,ana_211_5_5_2.root,211,5,5,2,2,189,222.74443631992682,0.7620295490564388,189,-1.175864512,0.7468950617326421,177,27.209994987825887,1.150119282756985,188,-1.175863491,0.7468857857702669,2334,222.80694087403597,222.5614712,2.795499777333759,2334,-1.096143959,-1.345581109,2.795092914328098,1324,27.133383685800602,27.230692856695438,3.135525910466254,2323,-1.137408523,-1.373335968,2.736366805684217
243,243,ana_211_5_5_3.root,211,5,5,2,3,183,222.54790026904385,0.7196063894826025,183,-1.35612034,0.7147505636570188,163,27.32383551776808,1.1236882085416962,183,-1.35612034,0.7147505641484103,2167,222.71661282879558,222.36223038185653,2.662919956441313,2167,-1.188832487,-1.558553828,2.505468071314127,1252,27.21485623003195,27.279121207408497,3.429312119,2155,-1.238515081,-1.571310936,2.525479797636984
242,242,ana_211_5_5_4.root,211,5,5,2,4,178,222.40850688684696,0.727793243,178,-1.484933728,0.7218616046683178,163,27.220362517316975,1.0515013652780145,178,-1.484933728,0.7218616034884413,2046,222.6832845,222.24216835581132,2.7360704709977206,2046,-1.221049202,-1.66405259,2.736662808006872,1258,27.30031796502385,27.21355454958675,2.997536497263391,2033,-1.277816035,-1.703349243,2.669088562
238,238,ana_211_5_5_5.root,211,5,5,2,5,183,222.62934541540488,0.7395161897600918,183,-1.272090829,0.7387151232799622,174,27.367839767927894,0.9101360716953518,182,-1.272091645,0.7387122742847698,2168,222.77398523985244,222.50584901440192,2.6323537626780817,2168,-1.130073801,-1.410286867,2.5635283546705403,1336,27.31811377245509,27.297739860140968,2.369741415,2161,-1.157951566,-1.42185437,2.5821959615431163
237,237,ana_211_5_5_6.root,211,5,5,2,6,182,222.5240005234303,0.8091329002550035,182,-1.387477476,0.7894900887431495,174,27.057600368356987,1.249855123727924,181,-1.387477958,0.7894894329530653,2322,222.74229112833765,222.36277161326822,2.8630383121633676,2322,-1.162101637,-1.542641015,2.8648023945618415,1225,27.13314285714286,27.175971931182357,3.2386900574656012,2303,-1.233839919,-1.587449087,2.7649864430836173
246,246,ana_211_5_5_7.root,211,5,5,2,7,182,222.47473056270871,0.6953590801617178,182,-1.424125645,0.6819183484435383,166,27.29237649430086,1.1910314662045742,182,-1.424125646,0.6819183486407665,2174,222.69852805887763,222.38670199173424,2.6828217108129615,2174,-1.208586323,-1.518060844,2.683809486303064,1338,27.22765321375187,27.275544830437614,3.287739532178118,2166,-1.241305017,-1.542247275,2.6340131159354425
98,98,ana_211_5_10_0.root,211,5,10,2.5,0,188,222.3820718570601,0.5593862444565023,188,-1.513571126,0.5557448280410939,187,27.24317345875179,0.6213416079241193,188,-1.513571126,0.5557448280410939,2143,222.44745683621093,222.20568661591744,1.9413194867358974,2143,-1.458547208,-1.7177841,1.842663456559867,1284,27.25607476635514,27.26564011406476,1.2685359676241774,2143,-1.458547208,-1.717964842,1.8431374227513377
95,95,ana_211_5_10_1.root,211,5,10,2.5,1,197,222.43250578399756,0.514537716,197,-1.479895611,0.508761503,193,27.318340745613288,0.5605109823987589,197,-1.479895611,0.508761503,2240,222.39089285714286,222.16553593381016,1.6000861674479616,2240,-1.514166667,-1.739466917,1.604762245065874,1548,27.345736434108534,27.24367550804221,1.075725345509948,2238,-1.521954126,-1.739479167,1.6048008038460995
103,103,ana_211_5_10_2.root,211,5,10,2.5,2,190,222.35206964704471,0.6800815841753556,190,-1.547325679,0.678377847,187,27.301032094625516,0.5320693717944303,190,-1.547325679,0.678377847,1767,222.35727221279004,222.22672935917385,1.8058892609111972,1767,-1.548273911,-1.677377794,1.8051462851140263,1454,27.31843191196699,27.282215253743843,1.185349666342933,1767,-1.548273911,-1.67751773,1.8051462851140345
